WKT;OBJECTID_1;Join_Count;TARGET_FID;OBJECTID_2;Join_Cou_1;TARGET_F_1;Join_Cou_2;TARGET_F_2;ScoutID;Datum;Adresse;Postleitza;Ort;Stadtteil;Kaltmiete;Wohnflaech;Grundstuec;Nutzflaech;Zimmer;Schlafzimm;Badezimmer;Gaeste_WC;Haustyp;Etagenanza;Garage_Ste;Anzahl_Gar;Balkon_Ter;Keller;Aufzug;Einbaukuec;Barrierefr;Baujahr;Letzte_Mod;Objektzust;Qualitaet;Heizungsar;Befeuerung;PLZ;Add_;addrtype;addrlocat;OBJECTID;STVdayPege;Ortsname;Adresse_Ge;Email_Kont;Typ;Bemerkung;SCHIsopha;SCHIsophp;SCHfarbwer;esri_oid;SCHanight;SCHpnight;SCHfnight;l_datum;esri_oid_1
"POINT (415992.6615 5655942.1076)";1;0;0;1;0;0;0;1;"67061611";01.11.2012;Eichstr. 16;"1309";Dresden;Blasewitz;"1100,00";"104,84";"0,00";;"1,0";"1,0";"2,0";"1,0";Besondere Immobilie;"4,0";Tiefgarage;"1,0";;Ja;;;;"2012.0";"2012.0";Erstbezug;Gehoben;Zentralheizung;Gas;"01309";01309 Dresden;street_address;RANGE_INTERPOLATED;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (416038.5686 5655955.3646)";2;0;1;2;0;1;0;2;"67061609";01.11.2012;Eichstr. 16;"1309";Dresden;Blasewitz;"1065,00";"101,37";"0,00";;"1,0";"1,0";"2,0";;;"4,0";;"1,0";;;;;;"2012.0";;Erstbezug;;Zentralheizung;Gas;"01309";01309 Dresden;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (417157.4777 5657134.789)";3;0;2;3;0;2;0;3;"66014711";01.11.2012;Plattleite 46;"1324";Dresden;Buehlau Weisser Hirsch;"1150,00";"140,00";"630,00";;"4,0";"4,0";"2,0";"1,0";Einfamilienhaus freistehend;"2,0";Garage;"2,0";;Ja;;Ja;;;;Gepflegt;;Zentralheizung;Gas;"01324";01324 Dresden;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (407041.6266 5662684.6117)";4;0;3;4;0;3;0;4;"66978993";01.11.2012;Augustusweg 68;"1445";Radebeul;Meissen;"960,00";"120,00";"500,00";;"2,0";;"2,0";"1,0";Einfamilienhaus freistehend;"2,0";Garage;"2,0";;Ja;;Ja;;"1980.0";"1990.0";Vollstaendig renoviert;Normal;Zentralheizung;Gas;"01445";01445 Radebeul;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (423777.9025 5660689.7435)";5;0;4;5;0;4;0;5;"66959459";01.11.2012;Foerstersteig 23;"1454";Grosserkmannsdorf;Radeberg;"2000,00";"225,00";"980,00";;"4,0";"4,0";"4,0";"1,0";;;;;;Ja;;Ja;;"1997.0";;;;;;"01454";01454 Grosserkmannsdorf;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (409753.0562 5660126.0487)";6;2;5;6;1;5;6;6;"67167842";05.11.2012;Alttrachau 20;"1139";Dresden;Mickten;"600,00";"75,00";"600,00";"85,00";"1,0";"1,0";"1,0";"1,0";Doppelhaushaelfte;"2,0";Carport;"1,0";;;;Ja;;"1825.0";"2000.0";Saniert;Gehoben;Zentralheizung;Gas;"01139";01139 Dresden;street_address;ROOFTOP;1659;>60-65 dB(A);Dresden - Ballungsraum;"Postfach 120020, D-01001 Dresden";umweltamt@dresden.de;5;kartiert durch LH Dresden;3.00000000000;3.00000000000;2003.00000000000;283625.00000000000;2.00000000000;2.00000000000;1011.00000000000;9.00000000000;823439.00000000000
"POINT (407950.0249 5655520.1838)";7;0;6;7;0;6;0;7;"67204453";07.11.2012;Stollestrasse 15;"1159";Dresden;Loebtau Nord;"541,00";"83,31";"0,00";;"1,0";;"1,0";"1,0";Doppelhaushaelfte;;Aussenstellplatz;"1,0";;;;Ja;;;;;;Zentralheizung;Gas;"01159";01159 Dresden;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (408698.9449 5655642.7273)";8;0;7;8;0;7;0;8;"67236922";09.11.2012;Stollestrasse 15;"1159";Dresden;Loebtau Nord;"541,00";"83,31";"0,00";;"1,0";;"1,0";"1,0";Doppelhaushaelfte;;Aussenstellplatz;"1,0";;;;Ja;;;;;;Zentralheizung;Gas;"01159";01159 Dresden;street_address;RANGE_INTERPOLATED;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (423777.9025 5660689.7435)";9;0;8;9;0;8;0;9;"67248399";09.11.2012;Foerstersteig 23;"1454";Grosserkmannsdorf;Radeberg;"2000,00";"225,00";"980,00";;"4,0";"4,0";"4,0";"1,0";;;;;;Ja;;Ja;;"1997.0";;;;;;"01454";01454 Grosserkmannsdorf;street_address;ROOFTOP;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
"POINT (409325.0249 5653982.1794)";10;0;9;10;0;9;0;10;"67273612";12.11.2012;Klingenberger Str. 23;"1187";Dresden;Plauen;"699,00";"103,37";"0,00";;"1,0";;"1,0";"1,0";Einfamilienhaus freistehend;;;"0,0";;;;;;;;Saniert;;Etagenheizung;;"01187";01187 Dresden;street_address;RANGE_INTERPOLATED;0;;;;;0;;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000;0.00000000000
